"58898","Harold 'Whitey' McEvoy","transportation captain (as Whitey McEvoy)"
"58899","Patrick Hogan","driver (uncredited)"
"58900","Charles Evans","executive producer"
"58901","Sydney Pollack","producer"
"58902","Dick Richards","producer"
"58903","Ronald L. Schwary","producer (uncredited)"
"58904","Ruth Morley","(costumes designed by)"
"58905","Don Brochu","assistant editor"
"58906","Jill Savitt","assistant editor"
"58907","Nancy Weizer","assistant editor"
"58908","Wayne Fitzgerald","editor: montage (uncredited)"
"58909","Gerald R. Molen","unit production manager"
"58910","Joseph Coscia","hair stylist (as Joe Coscia)"
"58911","C. Romania Ford","makeup artist (as C. Romaina Ford)"
"58912","Tony Marrero","hair stylist"
"58913","George Masters","makeup created by: Mr. Hoffman / makeup designed by: Mr. Hoffman"
"58914","Dorothy J. Pearl","makeup artist: Ms Lang (as Dorothy Pearl) / makeup created by: Mr. Hoffman (as Dorothy Pearl) / makeup designed by: Mr. Hoffman (as Dorothy Pearl)"
"58915","Toni-Ann Walker","hair stylist: Ms. Lange (as Toni Walker)"
"58916","Allen Weisinger","makeup: Mr. Hoffman"
"58917","William Lucek","scenic artist"
"58918","Jimmy Raitt","property master"
"58919","Sydney Pollack",NULL
"58920","Thomas C. Tonery","(as Tom Tonery)"
"58921","Lynn Stalmaster",NULL
"58922","Dominic Frontiere","composer: theme / conductor"
"58923","Eugene Marks","music editor (as Gene Marks)"
"58924","David Pomeranz","composer: theme"
"58925","Dan Wallin","scoring mixer (uncredited)"
"58926","Stuart H. Pappe",NULL
"58927","Gordon Scott",NULL
"58928","Maury Winetrobe",NULL
"58929","Tony Regan","casting: Arizona (uncredited)"
"58930","Leon Capetanos","(screenplay)"
"58931","Charles Bail","(story) (as Chuck Bail) and"
"58932","Leon Capetanos","(story)"
"58933","Ernest Misko","wardrobe"
"58934","Bud Belyeu","mechanic"
"58935","Eddie Kafafian","unit publicist"
"58936","Phill Norman","title designer"
"58937","Paul Youds","mechanic"
"58938","Jeff Ballesteros","craft service (uncredited)"
"58939","Al Cerullo","helicopter pilot (uncredited)"
"58940","Joyce King","script supervisor (uncredited)"
"58941","George Leslie","location auditor (uncredited)"
"58942","Madonna Lewis","secretary to producer and director (uncredited)"
"58943","Elleanor Mitchell","production secretary (uncredited)"
"58944","Ron Windred","location manager (uncredited)"
"58945","Holly Bower","still photographer"
"58946","Arthur Brooker","key grip"
"58947","Rick Cosko","camera operator"
"58948","Robert F. Liu","camera operator"
"58949","Don Nygren","gaffer"
"58950","James Ball","best boy grip (uncredited)"
"58951","Dave Friedman","still photographer (uncredited)"
"58952","Bill Hawkins","best boy (uncredited)"
"58953","Leroy Hershkowitz","electrician (uncredited)"
"58954","Louis Niemeyer","second assistant camera (uncredited)"
"58955","Bob Ramsey","electrician (uncredited)"
"58956","Ronald Vidor","first assistant camera (uncredited)"
"58957","Sandy Williams","dolly grip (uncredited)"
"58958","Richard C. Glouner","director of photography"
"58959","Dominic Frontiere",NULL
"58960","Frank Beetson","assistant director"
"58961","Dennis E. Jones","second assistant director"
"58962","Michael Kusley","second assistant director (as Mike Kusley)"
"58963","Les Fresholtz","sound re-recording mixer (as Lester Fresholtz)"
"58964","Michael Minkler","sound re-recording mixer"
"58965","Billie Owens","sound effects editor"
"58966","Arthur Piantadosi","sound re-recording mixer"
"58967","Arthur H. Pullen","sound effects editor"
"58968","William Randall","production sound mixer (as Bill Randall)"
"58969","Charles Randall","boom operator (uncredited)"
"58970","Walter M. Simonds",NULL
"58971","Charles Bail","producer (as Chuck Bail)"
"58972","Leon Capetanos","associate producer"
"58973","Phil Feldman","executive producer (uncredited)"
"58974","Dodie Shepard",NULL
"58975","Milt Rice","special effects"
"58976","Olie Anderson","stuntman"
"58977","Mike Bast","stuntman"
"58978","Wes Dawn","stuntman"
"58979","Eddy Donno","stunt coordinator"
"58980","Robert Drake","stuntman"
"58981","Ted Duncan","stuntman"
"58982","Larry Dunn","stuntman"
"58983","Kenny Endoso","stuntman"
"58984","Mickey Gilbert","stuntman"
"58985","Bob Harris","stuntman (as Bobby Harris)"
"58986","Whitey Hughes","stuntman"
"58987","Gray Johnson","stuntman"
"58988","Harry Madsen","stuntman"
"58989","John Morton","stuntman"
"58990","Roy K. Ogata","stuntman"
"58991","Frank Orsatti","stuntman"
"58992","Victor Paul","stuntman"
"58993","Diane Peterson","stuntman"
"58994","Charlie Picerni","stuntman (as Charles Picerni)"
"58995","Ernest Robinson","stuntman"
"58996","Wally Rose","stuntman"
"58997","Alex Stevens","stuntman"
"58998","Jerry Summers","stuntman"
"58999","Richard Washington","stuntman"
"59000","Tommy J. Huff","truck stunts (uncredited)"
"59001","Randy Roberts","editorial associate"
"59002","Ralph Sandler","assistant editor (uncredited)"
"59003","William C. Gerrity","unit production manager"
"59004","William P. Owens","unit production manager (as Bill Owens)"
"59005","Laura Lee Grubich","hair stylist"
"59006","Gary Morris","makeup artist (as Garrett Morris)"
"59007","Wally Oliver","property master"
"59008","Glen R. Feldman","leadman (uncredited)"
"59009","Douglas Forsmith","assistant property master (uncredited)"
"59010","Gerald MacDonald","construction coordinator (uncredited)"
"59011","Charles Bail","(as Chuck Bail)"
"59012","Morris Hoffman",NULL
"59013","Gil Casper","insert driver"
"59014","Leo Landa","insert driver"
"59015","Gary Paulsen","transportation captain"
"59016","Bob Hatcher","transportation co-captain (uncredited)"
"59017","Jack Baur",NULL
"59018","Ted Whitfield","music editor"
"59019","Richard H. Anderson","musician: woodwinds (uncredited) / orchestra contractor (uncredited)"
"59020","Gene Cipriano","musician: woodwinds (uncredited)"
"59021","Ralph Grierson","musician: piano/keyboards (uncredited)"
"59022","Dave Grusin","conductor (uncredited) / orchestrator (uncredited)"
"59023","Artie Kane","musician: piano/organ/keyboards (uncredited)"
"59024","Michael J. McDonald","score remixer (uncredited)"
"59025","Jerome Richardson","musician: woodwinds (uncredited)"
"59026","Lee Ritenour","guitars (uncredited)"
"59027","Bud Shank","alto sax/flute (uncredited)"
"59028","Dan Wallin","music engineer (uncredited) / music mixer (uncredited)"
"59029","Kurt E. Wolff","musician: percussion (uncredited) / orchestra contractor (uncredited)"
"59030","Don Guidice",NULL
"59031","Thomas Stanford",NULL
"59032","Paul Schrader","(screenplay) and"
"59033","Robert Towne","(screenplay)"
"59034","Leonard Schrader","(story)"
"59035","Mamoru Mori","wardrobe (as Mori Mamoru)"
"59036","Kuroki Masami","production personnel"
"59037","Phill Norman","titles designer"
"59038","Michie Ross","production secretary"
"59039","Masao Sato","assistant to executive producer (as Sato Masao)"
"59040","Gaylin P. Schultz","production coordinator (as Gaylin Schultz)"
"59041","Takeshi Sugimoto","production personnel (as Sugimoto Takeshi)"
"59042","Keiko Tsushima","script girl (as Tsushima Keiko)"
"59043","Hope Williams","script supervisor"
"59044","Seiji Yada","production personnel (as Yada Seiji)"
"59045","Bobby Byrne","camera operator (as Robert Byrne)"
"59046","Duke Callaghan","director of photography: American sequences"
"59047","Yoshiaki Masuda","gaffer (as Masuda Yoshiaki)"
"59048","Tamio Matsuo","assistant cameraman (as Matsuo Tamio)"
"59049","Haruhisa Murase","grip (as Murase Haruhisa)"
"59050","Cliff Ralke","assistant cameraman (as Clifton Ralke)"
"59051","Stephen B. Grimes","(as Stephen Grimes)"
"59052","Kozo Okazaki","director of photography (as Okazaki Kozo)"
"59053","Dave Grusin",NULL
"59054","Mike Abe","assistant director"
"59055","Stephen B. Grimes","second unit director (as Stephen Grimes)"
"59056","Michael D. Moore","assistant director (as Michael Moore)"
"59057","Basil Fenton-Smith","sound mixer (as Basil Fenton Smith)"
"59058","Arthur Piantadosi","re recording mixer"
"59059","Ed Scheid","sound effects (as Edwin Scheid)"
"59060","Yoshiyuki Ishida","(as Ishida Yoshiyuki)"
"59061","Michael Hamilburg","co-producer"
"59062","Sydney Pollack","producer"
"59063","Koji Shundo","executive producer"
"59064","Dorothy Jeakins",NULL
"59065","Tomoo Kasai","special effects (as Kasai Tomoo)"
"59066","Richard Parker","special effects"
"59067","Bill Saito","stunts (uncredited)"
"59068","Carol Ann Jackson","assistant editor"
"59069","Ralph Sandler","assistant editor"
"59070","Fredric Steinkamp","supervising film editor"
"59071","John R. Coonan","production manager (as John Coonan)"
"59072","Isao Nagaoka","unit production manager (as Nagaoka Isao)"
"59073","William Ross","assistant production manager"
"59074","Yoshio Yamamoto","unit production manager (as Yamamoto Yoshio)"
"59075","Gary Morris","makeup artist"
"59076","Toshio Miyagawa","props (as Miyagawa Toshio)"
"59077","Seiji Moori","tattoo artist (as Mohri Seiji)"
"59078","Sydney Pollack",NULL
"59079","Armyan Bernstein","(written by) (as Barry Armyan Bernstein)"
"59080","Robert Klane","(uncredited)"
"59081","Richard Halsey",NULL
"59082","Bob Cochran","casting: SAG, Hollywood Casting (uncredited)"
"59083","Harry Betts","music arranger: incidental music"
"59084","Bobby Guttadaro","music consultant"
"59085","Erma E. Levin","music editor"
"59086","Marc Paul Simon","music consultant"
"59087","Jay Graydon","musician: guitar (uncredited)"
"59088","Jack Angel","wardrobe: men"
"59089","Paula Cain","wardrobe: women"
"59090","Michael Kaplan","wardrobe: men"
"59091","Kathy O'Rear","wardrobe: women"
"59092","Sue Barton","publicity coordinator"
"59093","Wynn Cochran","production secretary"
"59094","Bobbi Cowan","publicity coordinator"
"59095","Joanne DiVito","choreographer"
"59096","Wayne Fitzgerald","title designer"
"59097","Sam Gellis","assistant to producer"
"59098","Nanci L. Hammond","assistant choreographer (as Nanci Hammond)"
"59099","Mark Hurwitz","project assistant"
"59100","Bob Jones","publicity coordinator"
"59101","Saul Kahan","unit publicist"
"59102","Steve Keator","publicity coordinator"
"59103","John R. Lampkin","disco dance consultant"
"59104","Glen Sanford","project assistant"
"59105","Lawrence Silverman","special disco lighting"
"59106","Cynnie Troup","script supervisor"
"59107","Steve Warner","auditor"
"59108","Randee Goldman","executive production secretary (uncredited)"
"59109","Johnny Hall","craft service (uncredited)"
"59110","Susan Munao","publicist: Casablanca Record and FilmWorks (uncredited)"
"59111","Howard Bingham","still photographer (as Howard L. Bingham)"
"59112","James O. Blair","gaffer (as Jim Blair)"
"59113","Frank M. Holgate","director of aerial photography (as Frank Holgate)"
"59114","Tom Prophet Jr.","key grip"
"59115","Mike Sweeten","camera operator"
"59116","John J. Connor","assistant camera (uncredited)"
"59117","Patti Connor","assistant camera (uncredited)"
"59118","Robert Duggan","second grip (uncredited)"
"59119","Daryl Smith","best boy (uncredited)"
"59120","Tom H. John",NULL
"59121","James Crabe","director of photography"
"59122","James W. Gavin","second unit director (as Jim Gavin)"
"59123","William R. Lasky","second assistant director"
"59124","Charles Ziarko","assistant director"
"59125","Kalai Strode","trainee assistant director (uncredited)"
"59126","Les Fresholtz","sound re-recording mixer"
"59127","Michael Minkler","sound re-recording mixer"
"59128","Al Overton Jr.","sound mixer"
"59129","Arthur Piantadosi","sound re-recording mixer"
"59130","Norman B. Schwartz","dialogue editor (as Norman Schwartz)"
"59131","Sam F. Shaw","sound effects (as Sam Shaw)"
"59132","Mark Hopkins McNabb","playback operator (uncredited)"
"59133","Don Merritt","boom operator (uncredited)"
"59134","Collins Shields","cableman (uncredited)"
"59135","Neil Bogart","executive producer"
"59136","Rob Cohen","producer"
"59137","Phillip M. Goldfarb","co-producer (as Phillip Goldfarb)"
"59138","Anthony Masters","associate producer (as Tony Masters)"
"59139","Lauren Shuler Donner","associate producer (as Lauren Shuler)"
"59140","Betsy Jones",NULL
"59141","Russel Hessey","special effects (as Russ Hessey)"
"59142","Phil Adams","stunt coordinator"
"59143","Benjie Bancroft","stunts (as Benji Bancroft)"
"59144","Bill Couch","stunts"
"59145","Bud Davis","stunts"
"59146","Gary Davis","stunts"
"59147","Bob Masino","stunts"
"59148","Bennie Moore","stunts (as Benny Moore)"
"59149","Terry Nichols","stunts"
"59150","Sherry Peterson","stunts"
"59151","Don Pulford","stunts"
"59152","Ernest Robinson","stunts (as Ernie Robinson)"
"59153","Rock A. Walker","stunts"
"59154","Dick Ziker","stunts"
"59155","Jesse Wayne","stunt double (uncredited) / stunt double: Harry Gold (uncredited)"
"59156","Richard Fetterman","assistant editor"
"59157","Marty Spiro","assistant editor"
"59158","Phillip M. Goldfarb","unit production manager (as Phillip Goldfarb)"
"59159","Stephen Gautier","makeup artist"
"59160","Louie Harris","hair stylist: Miss Summers"
"59161","Shawn McKay","hair stylist"
"59162","Harry W. Koerner","construction supervisor"
"59163","Vic Petrotta Jr.","property master (as Victor Petrotta)"
"59164","Darrell L. White","set designer"
"59165","Jim Dawson","leadman (uncredited)"
"59166","Everett Olson","construction supervisor: TBS (uncredited)"
"59167","H. John Ramos","assistant props (uncredited)"
"59168","Robert Klane",NULL
"59169","Jeff Haley",NULL
"59170","John M. Woodward","transportation captain (as John Woodward)"
"59171","Jane Feinberg",NULL
"59172","Mike Fenton",NULL
"59173","Eugene Marks","music editor"
"59174","Dan Wallin","score mixer (uncredited)"
"59175","Harold F. Kress","(as Harold Kress)"
"59176","Antonio Santillan","(screenplay) (as Antonio Santillan) and"
"59177","Norman Katkov","(screenplay)"
"59178","Antonio Santillan","(story) (as Antonio Santillan)"
"59179","Gordon Douglas",NULL
"59180","Tony Habeeb","unit publicist"
"59181","John Hood","ramp supervisor"
"59182","Steven Marlo","dialogue coach"
"59183","James McDonald","assistant to executive producer"
"59184","Patricia Padden","assistant to executive producer"
"59185","Sheridan Dar Reid","location manager (as Sheridan Reid)"
"59186","Esther Stephenson","script supervisor"
"59187","Art Volpert","executive assistant to producer"
"59188","Frank R. Hale","camera operator (as Frank Hale)"
"59189","Randall Robinson","first assistant camera: special effects unit (uncredited)"
"59190","Ward Preston",NULL
"59191","Fred Jackman Jr.","director of photography (as Fred Jackman)"
"59192","Charles Bernstein",NULL
"59193","Cheryl Downey","second assistant director"
"59194","Malcolm R. Harding","assistant director (as Malcolm Harding)"
"59195","Carey Loftin","second unit director"
"59196","Louis S. Muscate","second assistant director (as Louis Muscate)"
"59197","Herman Lewis","production mixer"
"59198","Arthur Piantadosi","rerecording mixer (as Art Piantadosi)"
"59199","Arthur H. Pullen","sound effects editor (as Art Pullen)"
"59200","Sherrill C. Corwin","executive producer"
"59201","Stanley Hough","producer (as Stan Hough)"
"59202","Irwin Allen","supervising producer (uncredited)"
"59203","Paul Zastupnevich",NULL
"59204","Gary Davis","stunt coordinator"
"59205","Jerry Brutsche","stunts (uncredited)"
"59206","Gary Lee Davis","utility stunts (uncredited)"
"59207","Peter Horak","stunts (uncredited)"
"59208","Kevin N. Johnston","stunts (uncredited)"
"59209","Carey Loftin","stunts (uncredited)"
"59210","Eddie Mulder","stunts (uncredited)"
"59211","Alex Romero","stunt double: Gene Kelly (uncredited)"
"59212","Jesse Wayne","stunts (uncredited)"
"59213","Carroll Timothy O'Meara","assistant film editor (as Tim O'Meara)"
"59214","Norman A. Cook","unit production manager (as Norman Cook)"
"59215","George E. Swink","post-production supervisor"
"59216","Gloria Algeo","hairdresser"
"59217","Fred B. Phillips","makeup artist (as Fred Philips)"
"59218","Norm Baron","assistant art director (as Norman Baron)"
"59219","Tom Cranham","production illustrator"
"59220","Arthur Friedrich","property master"
"59221","Joseph Musso","production illustrator"
"59222","Irwin 'Eppy' Epstein","drapery (uncredited)"
"59223","L.B. Abbott","special photographic effects"
"59224","Stuart A. Reiss","(as Stuart Reiss)"
"59225","Jack Baur",NULL
"59226","Harper MacKay","choral director"
"59227","Eugene Marks","music editor (as Gene Marks)"
"59228","Ennio Morricone","conductor / orchestrator"
"59229","Dan Wallin","score mixer"
"59230","Gloria O'Brien","singer: theme music (uncredited)"
"59231","Brandon Quinn","choral singer (uncredited)"
"59232","Tom Priestley","(uncredited)"
"59233","John Merritt",NULL
"59234","William Goodhart","(written by)"
"59235","John Boorman","(uncredited)"
"59236","Rospo Pallenberg","(uncredited)"
"59237","Betsy Cox","costume supervisor"
"59238","Bruce Walkup","costume supervisor"
"59239","Bill Milton","costumer (uncredited)"
"59240","John Boorman",NULL
"59241","Fiseha Dimetros","technical consultant: Africa"
"59242","Fisha Dimetros","technical consultant: Africa"
"59243","Daniel Joseph Giaghi","choreographer: tap dance routine"
"59244","John James","location manager"
"59245","Steven R. Kutcher","entomologist"
"59246","Andrea Nachman","production secretary"
"59247","Rospo Pallenberg","creative associate"
"59248","Dan Perri","title designer"
"59249","Bonnie Prendergast","script supervisor"
"59250","Melissa Skoff","secretary to director"
"59251","Kenneth Fineman","hypnosis consultant (uncredited)"
"59252","Ardie Ivy","assistant: AFI (uncredited)"
"59253","Geri Jacobson","co-production secretary (uncredited)"
"59254","Ramon Pahoyo","craft service (uncredited)"
"59255","Carol Riggins","animal trainer (uncredited)"
"59256","Arthur Brooker","key grip (as Art Brooker)"
"59257","Garrett Brown","Steadicam operator"
"59258","Diane Eddy","camera operator: second unit"
"59259","Ken Eddy","camera operator: second unit"
"59260","Nick McLean","camera operator"
"59261","Sean Morris","special photographer: Locust"
"59262","Doug Pentek","gaffer"
"59263","David L. Quaid","camera operator: second unit (as David Quaid)"
"59264","Chris Schwiebert","camera operator"
"59265","Dave Thompson","special photographer: Locust"
"59266","Ron Vargas","assistant camera"
"59267","Gerald H. Boatright","second best boy (uncredited)"
"59268","Michael B. Corbett","lighting technician (uncredited)"
"59269","Ray De La Motte","first assistant camera (uncredited)"
"59270","Adam Glick","set lighting technician (uncredited)"
"59271","Frank Lambers","grip best boy (uncredited)"
"59272","Gary Stark","set lighting technician (uncredited)"
"59273","Orlando Suero","still photographer (uncredited)"
"59274","Don Yamasaki","best boy (uncredited)"
"59275","Richard Macdonald",NULL
"59276","William A. Fraker",NULL
"59277","Ennio Morricone",NULL
"59278","Victor Hsu","second assistant director"
"59279","Rospo Pallenberg","second unit director"
"59280","Phil Rawlins","assistant director"
"59281","William S. Beasley","dga trainee (uncredited)"
"59282","Jim Atkinson","sound effects editor"
"59283","Les Fresholtz","sound re-recording mixer"
"59284","Walter Goss","sound mixer"
"59285","Russ Hill","synchronization effects editor"
"59286","Michael Minkler","sound re-recording mixer"
"59287","Arthur Piantadosi","sound re-recording mixer"
"59288","Al Boyle","boom operator (uncredited)"
"59289","Collins Shields","cableman (uncredited)"
"59290","Jack T. Collis",NULL
"59291","John Boorman","producer"
"59292","Richard Lederer","producer"
"59293","Charles Orme","associate producer"
"59294","Robert De Mora",NULL
"59295","Jim Blount","special effects"
"59296","Wayne Edgar","special effects"
"59297","Chuck Gaspar","special effects"
"59298","Jeff Jarvis","special effects"
"59299","Roy Kelly","special effects"
"59300","Richard Ratliff","special effects"
"59301","Wayne Beauchamp","special effects crew (uncredited)"
"59302","John Ashby","stunts (uncredited)"
"59303","May Boss","stunts (uncredited)"
"59304","Whitey Hughes","stunt coordinator (uncredited)"
"59305","Bennie Moore","stunts (uncredited)"
"59306","Axel Hubert Sr.","associate editor (uncredited)"
"59307","Ron Spang","assistant editor (uncredited)"
"59308","John R. Coonan","unit production manager (as John Coonan)"
"59309","William C. Gerrity","unit production manager: New York (as William Gerrity)"
"59310","Ron Berkeley","makeup artist: Mr. Burton"
"59311","Wayne Edgar","makeup artist"
"59312","Lynda Gurasich","supervising hair stylist"
"59313","Gary Liddiard","makeup supervisor"
"59314","Dick Smith","special makeup effects artist"
"59315","Carrie White","additional hair stylist"
"59316","Gae Clark Butler","second hairdresser (uncredited)"
"59317","Terry Miles","second makeup artist (uncredited)"
"59318","Kathrin Boorman","draughtsman: Regan's drawings"
"59319","Harold Broner","construction coordinator"
"59320","Richard Lawrence","assistant art director"
"59321","Richard M. Rubin","property master"
"59322","Gene Rudolf","art director: New York"
"59323","Glen R. Feldman","leadman (uncredited)"
"59324","Douglas Forsmith","assistant property master (uncredited)"
"59325","Dean Edward Mitzner","assistant art director (uncredited)"
"59326","David Moll","second assistant property master (uncredited)"
"59327","Peter R. Romero","assistant art director (uncredited)"
"59328","Walter Wylie","construction coordinator (uncredited)"
"59329","Bill Hansard","process consultant"
"59330","Albert Whitlock","special visual effects (as Albert J. Whitlock)"
"59331","Henry Schoessler","matte crew (uncredited)"
"59332","Albert Whitlock","matte artist (uncredited)"
"59333","John P. Austin","(as John Austin)"
"59334","Tom Culla","special thanks (as Tommy Culla)"
"59335","Michael Dryhurst","special thanks"
"59336","Peter MacDonald","special thanks"
"59337","Geoffrey Unsworth","special thanks"
"59338","Joe Gary","transportation co-captain (uncredited)"
"59339","Richard Padgett","transportation captain (uncredited)"
"59340","Mary Goldberg","(uncredited)"
"59341","Alan Shayne","(uncredited)"
"59342","Billy Preston",NULL
"59343","Ferd Sebastian","(written by) &"
"59344","Beverly Sebastian","(written by)"
"59345","Sandy Glieberman",NULL
"59346","Richard S. Brummer","sound cutter (as Dick Brummer)"
"59347","Les Fresholtz","sound re-recordist (as Les Frescholtz)"
"59348","Charles McCann","sound cutter (as Charles W. McCann)"
"59349","Bill Nelson","sound"
"59350","Arthur Piantadosi","sound re-recordist"
"59351","Richard Tyler","sound re-recordist"
"59352","Darcy Vebber","sound"
"59353","Duane Hartzell","assistant editor"
"59354","Eddy Donno","stunts"
"59355","Whitey Hughes","stunts"
"59356","Dean Jeffries","stunts"
"59357","Gray Johnson","stunts (as Gary Johnson)"
"59358","Gary McLarty","stunts"
"59359","Frank Orsatti","stunts"
"59360","Ben Sebastian","stunts"
"59361","Mildred McElhone","caterer"
"59362","Ben Sebastian","race car coordinator"
"59363","Charles A. Tamburro","helicopter pilot (uncredited)"
"59364","Beverly Sebastian",NULL
"59365","Ferd Sebastian",NULL
"59366","Paul Dillingham","best boy"
"59367","Ron Johnson","camera operator"
"59368","Henning Schellerup","camera operator"
"59369","Beverly Sebastian","still photographer"
"59370","Ferd Sebastian","camera operator"
"59371","Tony Vorno","production manager"
"59372","Henning Schellerup",NULL
"59373","Ferd Sebastian",NULL
"59374","Beverly Sebastian","producer"
"59375","Ferd Sebastian","producer"
"59376","Bob Alberti","orchestrator"
"59377","Baruch Cohon","composer: original chant"
"59378","Eugene Marks","music editor (as Gene Marks)"
"59379","Albert Woodbury","orchestrator (as Al Woodbury)"
"59380","Dan Wallin","score mixer (uncredited)"
"59381","Jack Horger",NULL
"59382","Irving Rosenblum",NULL
"59383","Maury Winetrobe",NULL
"59384","Steven R. Stevens","location casting (uncredited)"
"59385","Jack N. Young","extras casting (uncredited)"
"59386","Michael Elias","(written by) &"
"59387","Frank Shaw","(written by)"
"59388","Violet N. Cane","costumer: women (as Violet Cane)"
"59389","Dennis Fill","wardrobe supervisor"
"59390","George L. Little","costume foreperson (as George Little)"
"59391","George American Horse","technical advisor"
"59392","Joan Bennett","secretary to director"
"59393","Walter Blake","title designer: main titles"
"59394","Kathy Day","secretary to producer"
"59395","Glenn Dunn","craft service"
"59396","Doris Grau","script supervisor"
"59397","Alvin Greenman","dialogue supervisor"
"59398","Meyer Heller","technical advisor (as Rabbi Meyer Heller)"
"59399","Susan Hoffman","location auditor"
"59400","Gordon Jones","representative: AHA"
"59401","Richard Liebegott","production secretary"
"59402","Susan Pile","unit publicist"
"59403","Steven Robbins","technical advisor (as Rabbi Steven Robbins)"
"59404","Alex Romero","choreographer"
"59405","Rudy Ugland","ramrod"
"59406","Jerry Young","wrangler"
"59407","B.J. Smith","first aid (uncredited)"
"59408","Billy Beaird","dolly grip (as Bill Beaird Jr.) / key grip (as Bill Beaird)"
"59409","Don Cady","electrical best boy"
"59410","Robert E. Gaynor","dolly grip (as Robert Gaynor)"
"59411","John Kiser","camera operator (as John F. Kiser)"
"59412","Nick Kurges","grip"
"59413","James LeBlanc","second assistant camera (as James Le Blanc)"
"59414","Eugene Mendez","second company grip"
"59415","Victor Nikaido","camera technician"
"59416","Douglas Olivares","second assistant camera"
"59417","John R. Shannon","still photographer"
"59418","Duane Smith","electrical best boy"
"59419","Michael St. Hilaire","camera operator (as Mike St. Hilaire)"
"59420","Lynn Tomes","camera technician"
"59421","Jack Wilson","gaffer"
"59422","Terence Marsh",NULL
"59423","Robert B. Hauser","director of photography"
"59424","Frank De Vol",NULL
"59425","Herb Adelman","dga trainee"
"59426","Peter L. Bergquist","second assistant director (as Peter Bergquist)"
"59427","Mel Dellar","assistant director"
"59428","Les Fresholtz","sound re-recording mixer"
"59429","George Geren","cable person"
"59430","Walter Goss","sound re-recording mixer"
"59431","Arthur Jackson","playback operator (as Art Jackson)"
"59432","Joe Kenworthy","boom operator"
"59433","Marvin I. Kosberg","looping editor"
"59434","Arthur Piantadosi","sound re-recording mixer"
"59435","Jack Solomon","sound mixer"
"59436","Mel Dellar","associate producer (as Melvin Dellar)"
"59437","Hawk Koch","executive producer (as Howard W. Koch Jr.)"
"59438","Mace Neufeld","producer"
"59439","Henry Millar Jr.","special effects foreman"
"59440","Kevin Pike","special effects"
"59441","Kim Burke","stunts"
"59442","Mickey Gilbert","stunt coordinator"
"59443","Bill Hart","stunts"
"59444","Chuck Hayward","stunt coordinator"
"59445","Bob Herron","stunts"
"59446","Bob Terhune","stunts"
"59447","Mickey Gilbert","stunts (uncredited)"
"59448","Dennis E. Lew","assistant editor"
"59449","Saul Saladow","assistant editor"
"59450","Edward Teets","unit production manager"
"59451","Giannina Bush","makeup artist"
"59452","Leland V. Crawford","hair stylist (as Leland Crawford)"
"59453","William Turner","makeup artist (as Bill Turner)"
"59454","Michael Casey","property man"
"59455","Dale Covey","greensman (as Dale Covey Jr.)"
"59456","Dave Newhouse","greensman: construction (as David Newhouse)"
"59457","Joe Pearce","stand-by painter"
"59458","Victor E. Petrotta Sr.","property master (as Victor Petrotta)"
"59459","H. John Ramos","assistant property master"
"59460","Ida Random","assistant art director"
"59461","Josan F. Russo","assistant art director (as Josan Russo)"
"59462","George Szeptycki","assistant art director (as J. George Szeptycki)"
"59463","Hendrik Wynands","construction coordinator (as Hank Wynands)"
"59464","John Alvin","poster artist (uncredited)"
"59465","Robert Aldrich",NULL
"59466","Marvin March",NULL
"59467","Hugo Montenegro",NULL
"59468","Donald Hamilton","(novel ""The Wrecking Crew"")"
"59469","William P. McGivern","(screenplay) (as William McGivern)"
"59470","Maury Winetrobe",NULL
"59471","Max Frankel","property master"
"59472","Oscar Denenberg","assistant editor"
"59473","Jerome M. Siegel","assistant director (as Jerome Siegel)"
"59474","John M. Poer","dga trainee (uncredited)"
"59475","Sy Devore","wardrobe: Dean Martin"
"59476","Irving Allen","producer"
"59477","Harold F. Kress","associate producer"
"59478","Wayne Fitzgerald","title designer"
"59479","Bruce Lee","karate advisor"
"59480","Frank Tallman","pilot: helicopter sequences"
"59481","Phil Karlson",NULL
"59482","Joseph C. Wright","(as Joe Wright)"
"59483","Hugo Montenegro","conductor"
"59484","John Bahler","orchestrator (uncredited)"
"59485","Al Capps","orchestrator (uncredited)"
"59486","Richard Hazard","orchestrator (uncredited)"
"59487","J. Hill","orchestrator (uncredited)"
"59488","Willis Holman","orchestrator (uncredited)"
"59489","Frank Tuttle",NULL
"59490","Moss Mabry",NULL
"59491","Ralph E. Black","unit production manager (as Ralph Black)"
"59492","Sam Leavitt","director of photography"
"59493","Bill Clark","stunt double: Simon Scott (uncredited)"
"59494","Bill Couch","stunts (uncredited)"
"59495","Joe Gray","stunts (uncredited)"
"59496","Bill Hickman","stunts (uncredited)"
"59497","Joe Lewis","stunts (uncredited)"
"59498","Carey Loftin","stunts (uncredited)"
"59499","Ed Parker","stunts (uncredited)"
"59500","Gil Perkins","stunts (uncredited)"
"59501","Allen Pinson","stunts (uncredited)"
"59502","Wally Rose","stunts (uncredited)"
"59503","Bill M. Ryusaki","stunts (uncredited)"
"59504","Mary Statler","stunts (uncredited)"
"59505","Mike Stone","stunt double: Dean Martin (uncredited)"
"59506","Fred Stromsoe","stunts (uncredited)"
"59507","Dale Van Sickel","stunts (uncredited)"
"59508","Hank Edds","makeup artist: Dean Martin"
"59509","Virginia Jones","hair stylist"
