"57883","Ed Wolf","assistant art director"
"57884","Howard Avedis",NULL
"57885","Dan Wallin","score mixer (uncredited)"
"57886","Douglas Stewart",NULL
"57887","Glendon Swarthout","(novel)"
"57888","Miles Hood Swarthout","(screenplay) and"
"57889","Scott Hale","(screenplay)"
"57890","Luster Bayless","costumes: men"
"57891","Moss Mabry","costumes: Miss Bacall"
"57892","Edna Taylor","costumes: ladies"
"57893","Jack Casey","publicist"
"57894","Eudie Charnes","production coordinator"
"57895","Dino De Laurentiis","presenter"
"57896","Al Horwits","public relations"
"57897","Betsy Norton","script supervisor"
"57898","Buzz Barton","horse wrangler (uncredited)"
"57899","Robert S. Birchard","dailies projectionist (uncredited)"
"57900","Martha Manor","stand-in (uncredited)"
"57901","Kenneth Adams","key grip"
"57902","Thomas Del Ruth","camera operator (as Tom Del Ruth)"
"57903","Charles Holmes","gaffer (as Chuck Holmes)"
"57904","Richard A. Mention III","camera assistant (as Rick Mention)"
"57905","Timothy E. Wade","camera assistant"
"57906","Robert Jason","electrician (uncredited)"
"57907","Dave Sutton","still photographer (uncredited)"
"57908","Robert F. Boyle","(as Robert Boyle)"
"57909","Bruce Surtees","director of photography"
"57910","Elmer Bernstein",NULL
"57911","Joseph C. Cavalier","assistant director (as Joe Cavalier)"
"57912","Joe Florence","second assistant director"
"57913","Les Fresholtz","sound re-recordist"
"57914","Michael Minkler","sound re-recordist"
"57915","Al Overton","sound mixer (as Alfred J. Overton)"
"57916","Arthur Piantadosi","sound re-recordist"
"57917","Jerry Whittington","sound effects editor (uncredited)"
"57918","Chris Haynes","driver (uncredited)"
"57919","M.J. Frankovich","producer"
"57920","William Self","producer"
"57921","Augie Lohman","special effects"
"57922","David Domeyer","special effects (uncredited)"
"57923","Denny Arnold","stunts (uncredited)"
"57924","Jim Burk","stunt double (uncredited) / stunt double: John Wayne (uncredited) / stunts (uncredited)"
"57925","Steven Burnett","stunts (uncredited)"
"57926","Roydon Clark","stunts (uncredited)"
"57927","Chuck Roberson","stunts (uncredited)"
"57928","Henry Wills","stunts wrangler (uncredited)"
"57929","Jerrold L. Ludwig","assistant editor"
"57930","Russell Saunders","executive production manager"
"57931","Joe DiBella","makeup artist (as Joe Di Bella)"
"57932","Dave Grayson","makeup artist"
"57933","Vivienne Walker","hair stylist"
"57934","Bill Dietz","property master"
"57935","Richard Lawrence","assistant art director"
"57936","Joseph M. LeBaron","construction coordinator"
"57937","William Cruse","set designer (uncredited)"
"57938","Don Siegel",NULL
"57939","Arthur Jeph Parker","(as Arthur Parker)"
"57940","Else Blangsted","music editor"
"57941","Willie Nelson","songs sung by"
"57942","Dan Wallin","music scoring mixer (as Dan Walin)"
"57943","Sheldon Kahn",NULL
"57944","Jaki Baskow","casting: Las Vegas"
"57945","Robert Garland","(screenplay)"
"57946","Paul Gaer","(screen story) and"
"57947","Robert Garland","(screen story)"
"57948","Shelly Burton","(story)"
"57949","David Rayfiel","(uncredited)"
"57950","Francine Jamison-Tanchuck","costumer: women (as Francine Jamison)"
"57951","Richard La Motte","costumer: men (as Richard Lamotte)"
"57952","Art Martinez","costumer: men"
"57953","Rita Salazar","costumer: women"
"57954","Anna Lisa Chally","assistant costumer: women (uncredited)"
"57955","Richard Labansat","assistant costumer: men (uncredited)"
"57956","Annalisa Strickland","costumer (uncredited)"
"57957","Michael Britton","second assistant director"
"57958","Wayne Fitzgerald","titles"
"57959","Jack Hirshberg","unit publicist"
"57960","Mary Cay Hollander","production coordinator"
"57961","Bernardine Kent","assistant: Mr. Pollack / choreographer"
"57962","Don Kruger","location manager"
"57963","Kenneth Lee","livestock supervisor (as Kenny Lee)"
"57964","Julie Pitkanen","script supervisor"
"57965","Harold Bates","wrangler (uncredited)"
"57966","Richard Hennerly Jr.","projectionist (uncredited)"
"57967","Jerry Jackson","assistant to producer (uncredited)"
"57968","Grant Olson","craft service (uncredited)"
"57969","Rex Peterson","wrangler (uncredited)"
"57970","Jim Porter","first aid (uncredited)"
"57971","Victor T. Salant","auditor (uncredited)"
"57972","Joe Schultz","caterer (uncredited)"
"57973","Michael Schultz","caterer (uncredited)"
"57974","Marilyn Tasso","assistant to auditor (uncredited)"
"57975","Howard Bingham","stills"
"57976","James Glennon","camera operator"
"57977","Rob Hahn","camera assistant"
"57978","Ted Holt","gaffer"
"57979","Johnny E. Jensen","camera assistant (as John Jensen)"
"57980","Bob Rose","key grip (as R. Reinholt Rose)"
"57981","R. Reinholt Rose","key grip"
"57982","Paul Caven","electrician (uncredited) / lighting technician (uncredited)"
"57983","Michael Everett","electrician (uncredited)"
"57984","Dennis Greene","dolly grip (uncredited)"
"57985","Bud Heller","grip (uncredited)"
"57986","Frank Lambers","best boy (uncredited)"
"57987","Joe Pender","gaffer (uncredited)"
"57988","Ward Russell","best boy (uncredited)"
"57989","Ted Schwimer","electrician (uncredited)"
"57990","Stephen B. Grimes","(as Stephen Grimes)"
"57991","Owen Roizman","director of photography"
"57992","Dave Grusin",NULL
"57993","Michael Britton","second assistant director"
"57994","Michael D. Moore","assistant director (as M. Michael Moore)"
"57995","Bart Roe","second assistant director"
"57996","Hope R. Goodwin","dga trainee (uncredited)"
"57997","John R. Kittleson","second assistant director (uncredited)"
"57998","Neil Burrow","sound assistant"
"57999","Gordon Davidson","supervising sound editor"
"58000","John E. Davis","sound assistant"
"58001","Les Fresholtz","re-recording mixer"
"58002","Michael Minkler","re-recording mixer"
"58003","Al Overton Jr.","production mixer"
"58004","Arthur Piantadosi","re-recording mixer"
"58005","Robert A. Reich","sound editor"
"58006","William A. Sawyer","sound editor (as William Sawyer)"
"58007","Curt Schulkey","sound editor (as Kurt Schulkey)"
"58008","Ross Taylor","sound editor"
"58009","Ronald Long","boom operator (uncredited)"
"58010","J. Dennis Washington",NULL
"58011","Ronald L. Schwary","associate producer"
"58012","Ray Stark","producer"
"58013","Bernie Pollack",NULL
"58014","Augie Lohman","special effects"
"58015","Dennis Dion","special effects (uncredited)"
"58016","Walter Dion","special effects (uncredited)"
"58017","Cy Guerrier","special effects (uncredited)"
"58018","John J. Hawkins","special effects (uncredited)"
"58019","Don Sevart","special effects (uncredited)"
"58020","R. Bruce Steinheimer","special effects technician (uncredited)"
"58021","A.J. Thrasher","special effects (uncredited)"
"58022","Bruce Paul Barbour","stunts: chase sequence (as Bruce Paul Barboar)"
"58023","Corky Behrle","stunts: chase sequence"
"58024","Kenny Endoso","stunts: chase sequence (as Ken Endoso)"
"58025","Ralph Garrett","stunts: chase sequence"
"58026","Mickey Gilbert","stunt people"
"58027","Mollie McCall","stunt people"
"58028","Conrad E. Palmisano","stunts: chase sequence (as Conrad Palmisano)"
"58029","Mary Peters","stunts: chase sequence (as Mary K. Peters)"
"58030","Rick Seaman","stunts: chase sequence"
"58031","Sonny Shields","stunts: chase sequence"
"58032","Rock A. Walker","stunts: chase sequence (as Rock Walker)"
"58033","Roger Creed","stunt coordinator (uncredited)"
"58034","Marilyn Madderom","assistant editor"
"58035","Clayton Collins","apprentice film editor (uncredited)"
"58036","Brent Eldridge","digital color correction (uncredited)"
"58037","David Garfield","assistant editor: Los Angeles (uncredited)"
"58038","Tracy Granger","apprentice editor (uncredited)"
"58039","Robert E. Pew","apprentice assistant editor (uncredited)"
"58040","Ronald L. Schwary","production manager"
"58041","Bernadine M. Anderson","makeup artist: Miss Fonda"
"58042","Gary Liddiard","makeup artist"
"58043","Marina Pedraza","hair stylist (as Marine Pedraza)"
"58044","Mike Moschella","extra makeup artist (uncredited)"
"58045","Shirley Padgett","extra hair stylist (uncredited)"
"58046","Edward Aiona","property master (as Eddie Aiona)"
"58047","Bart Batholomew","stand-by painter (uncredited)"
"58048","Robert A. Blackburn","propmaker (uncredited)"
"58049","Stephen Dane","assistant art director (uncredited)"
"58050","Paul De Santis","assistant property master (uncredited)"
"58051","Alan DeCuir","swing gang (uncredited)"
"58052","Cliff Dietrich","construction laborer (uncredited)"
"58053","Michael R. Gannon","lead man (uncredited)"
"58054","Emad Helmy","set dresser (uncredited)"
"58055","Jaymes Hinkle","scenic sign painter (uncredited)"
"58056","Jerry Jordan","swing gang (uncredited)"
"58057","Bill Knight","painter (uncredited)"
"58058","Robin Lewis West","propmaker (uncredited)"
"58059","Willie Marceau","propmaker (uncredited)"
"58060","Al Marquez","propmaker (uncredited)"
"58061","Chuck Olin","construction laborer (uncredited)"
"58062","Bud Pine","construction coordinator (uncredited)"
"58063","William Powley","construction painter (uncredited)"
"58064","Clarence Quintan","assistant property master (uncredited)"
"58065","Terry Rittmiller","drapery (uncredited)"
"58066","Bill Seymour","construction foreman (uncredited)"
"58067","Chuck Stein","construction foreman (uncredited)"
"58068","Gary Zink","welder (uncredited)"
"58069","Sydney Pollack",NULL
"58070","Mary Swanson",NULL
"58071","Gary Paulsen","transportation coordinator"
"58072","Richard Belyeu","transportation captain (uncredited)"
"58073","Michael Connolly","driver (uncredited)"
"58074","George Cozze","driver (uncredited)"
"58075","Bob Howell","driver (uncredited)"
"58076","Alan Lee","horse driver (uncredited)"
"58077","Richard Padgett","transportation co-captain (uncredited)"
"58078","Jeff F. Renfro","driver: honeywagon (uncredited)"
"58079","Nate Rubin","driver (uncredited)"
"58080","William Vreeland","driver (uncredited)"
"58081","Roger Wooge","transportation (uncredited)"
"58082","Jennifer Shull",NULL
"58083","Fred Myrow",NULL
"58084","Garry Michael White","(written by)"
"58085","Evan A. Lottman","(as Evan Lottman)"
"58086","Ray Mercer Jr.","property master (as Ray Mercer)"
"58087","Kate Hirson","assistant editor"
"58088","Michael Jacobi","assistant editor"
"58089","Craig McKay","associate editor"
"58090","Charles Bonniwell","second assistant director"
"58091","Tom Shaw","assistant director"
"58092","Paul J. Crossey","dga trainee (uncredited)"
"58093","Dan Wallin","score mixer (uncredited)"
"58094","Robert M. Sherman","producer"
"58095","Anthony Goldschmidt","title designer"
"58096","Betty A. Griffin","script supervisor"
"58097","Gene Levy","assistant to the producer"
"58098","Anne Shaw","production secretary"
"58099","Vernon White","publicist"
"58100","Kit Andree","voice (uncredited)"
"58101","Marilyn Chris","voice (uncredited)"
