"21881","Klaus Schichan"
"21882","Tove Platon"
"21883","Kirsten Lahman"
"21884","Francoise Blanc"
"21885","Darrell Armstrong"
"21886","Walt Trott"
"21887","Walter Matthau"
"21888","Ingrid Bergman"
"21889","Jack Weston"
"21890","Vito Scotti"
"21891","Irene Hervey"
"21892","Eve Bruce"
"21893","Irwin Charone"
"21894","Matthew Saks"
"21895","Linda Burton"
"21896","Hy Chase"
"21897","Don Furneaux"
"21898","Tani Guthrie"
"21899","Lee Harris"
"21900","Merriana Henriq"
"21901","Peter Morrison Jacobs"
"21902","Rick Lamson"
"21903","Mary Jane Mangler"
"21904","Barbara Randolph"
"21905","Ralph Roberts"
"21906","Lucy Saroyan"
"21907","Bob Stiles"
"21908","Sylvia Stone"
"21909","George Winters"
"21910","Gregory Peck"
"21911","Tuesday Weld"
"21912","Estelle Parsons"
"21913","Ralph Meeker"
"21914","Lonny Chapman"
"21915","Charles Durning"
"21916","Jeff Dalton"
"21917","Freddie McCloud"
"21918","Jane Rose"
"21919","J.C. Evans"
"21920","Margaret A. Morris"
"21921","Bill Littleton"
"21922","Leo Yates"
"21923","Nora Denney"
"21924","Robin Williams"
"21925","Kurt Russell"
"21926","Pamela Reed"
"21927","Holly Palance"
"21928","Donald Moffat"
"21929","Margaret Whitton"
"21930","M. Emmet Walsh"
"21931","Donovan Scott"
"21932","R.G. Armstrong"
"21933","Dub Taylor"
"21934","Carl Ballantine"
"21935","Kathleen Freeman"
"21936","Tony Plana"
"21937","Kirk Cameron"
"21938","Robyn Lively"
"21939","Eloy Casados"
"21940","Jeff Doucette"
"21941","Anne Haney"
"21942","Bill Overton"
"21943","Peter Van Norden"
"21944","Patrick Brennan"
"21945","Jeff Severson"
"21946","Hap Lawrence"
"21947","Nicholas Shields"
"21948","Hugo Stanger"
"21949","Wayne Montanio"
"21950","'Iron Jaws' Wilson"
"21951","Brenda Huggins"
"21952","Michael Lopez"
"21953","William G. Schilling"
"21954","Hugh Gillin"
"21955","Jake Dengel"
"21956","Linda Hart"
"21957","Hilary Anderson"
"21958","Marie Cain"
"21959","Peggy Moyer"
"21960","Norm Schachter"
"21961","Christopher Mankiewicz"
"21962","J.P. Bumstead"
"21963","Robert Dickman"
"21964","Jim Giovanni"
"21965","Steve Shargo"
"21966","Darryl B. Smith"
"21967","Wayne Adderson"
"21968","Raymond W. Clanton"
"21969","Fred A. Nelson"
"21970","Vister Hayes"
"21971","Michelle Guastello"
"21972","Cathy Cheryl Davis"
"21973","Susan Signorelli"
"21974","Philipe Gerard"
"21975","Christopher Cory"
"21976","Jonathan Ames"
"21977","Tracey Gold"
"21978","Bruce Goldstein"
"21979","Paul Newman"
"21980","Sally Field"
"21981","Bob Balaban"
"21982","Melinda Dillon"
"21983","Luther Adler"
"21984","Barry Primus"
"21985","Josef Sommer"
"21986","John Harkins"
"21987","Don Hood"
"21988","Arnie Ross"
"21989","Phanie Napoli"
"21990","Shelley Spurlock"
"21991","Shawn McAllister"
"21992","Joe Petrullo"
"21993","William Kerwin"
"21994","Oswaldo Calvo"
"21995","Clardy Malugen"
"21996","Sharon Anderson"
"21997","Jody Wilson"
"21998","Ilse Earl"
"21999","Alfredo Alvarez Calderon"
"22000","Pat Sullivan"
"22001","Bill Hindman"
"22002","John Archie"
"22003","Timothy Hawkins"
"22004","Ricardo Marquez"
"22005","Patricia Matzdorff"
"22006","Diane Zolten"
"22007","Kathy Suergiu"
"22008","Jeff Gillen"
"22009","Ted Bartsch"
"22010","Sugar Ray Mann"
"22011","Richard O'Barry"
"22012","Chuck Lupo"
"22013","John DiSanti"
"22014","Laurie V. Logan"
"22015","Jack McDermott"
"22016","Mark Harris"
"22017","Barbara Keegan"
"22018","Lynn Parraga"
"22019","Lee Sandman"
"22020","Barry Hober"
"22021","Gary Van Auken"
"22022","Ryan O'Neal"
"22023","Burt Reynolds"
"22024","Tatum O'Neal"
"22025","Brian Keith"
"22026","Stella Stevens"
"22027","John Ritter"
"22028","Jane Hitchcock"
"22029","Jack Perkins"
"22030","Brion James"
"22031","Sidney Armus"
"22032","Joe Warfield"
"22033","Tamar Cooper"
"22034","Alan Gibbs"
"22035","Mathew Anden"
"22036","Lorenzo Music"
"22037","Arnold Soboloff"
"22038","Jeffrey Byron"
"22039","Priscilla Pointer"
"22040","Don Calfa"
"22041","Philip Bruns"
"22042","Edward Marshall"
"22043","John Blackwell"
"22044","E.J. Andre"
"22045","Christa Lang"
"22046","Maurice Manson"
"22047","Louis Guss"
